term,soc,version,aliases,g1,g2,g3,g4,g5,definition,note,page
Testicular disorder,Reproductive system and breast disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic but not interfering with sexual function; intervention not indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; interfering with sexual function; intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,-,A disorder characterized by abnormal function or appearance of the testis.,Consider other AE terms in the Renal and urinary disorders SOC or Reproductive system and breast disorders SOC.,261
Testicular hemorrhage,Reproductive system and breast disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the testis.,-,261
Testicular pain,Reproductive system and breast disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the testis.,Record final diagnosis/cause once determined.,262
Uterine fistula,Reproductive system and breast disorders,CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the uterus and another organ or anatomic site.,-,262
Uterine hemorrhage,Reproductive system and breast disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the uterus.,-,262
Uterine obstruction,Reproductive system and breast disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; elective intervention indicated,Severe symptoms; invasive intervention indicated,-,-,A disorder characterized by blockage of the uterine outlet.,-,262
Uterine pain,Reproductive system and breast disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the uterus.,Record final diagnosis/cause once determined.,263
Vaginal discharge,Reproductive system and breast disorders,CTCAE v6.0,,Mild vaginal discharge (greater than baseline for patient),Moderate to heavy vaginal discharge; use of perineal pad or tampon indicated,-,-,-,"A disorder characterized by vaginal secretions. Mucus produced by the cervical glands is discharged from the vagina naturally, especially during the childbearing years.",-,263
Vaginal dryness,Reproductive system and breast disorders,CTCAE v6.0,,Mild vaginal dryness not interfering with sexual function,Moderate vaginal dryness interfering with sexual function or causing frequent discomfort,Severe vaginal dryness resulting in dyspareunia or severe discomfort,-,-,A disorder characterized by an uncomfortable feeling of itching and burning in the vagina.,-,263
Vaginal fistula,Reproductive system and breast disorders,CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the vagina and another organ or anatomic site.,-,264
Vaginal hemorrhage,Reproductive system and breast disorders,CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the vagina.,-,264
Vaginal inflammation,Reproductive system and breast disorders,CTCAE v6.0,,"Mild discomfort or pain, edema, or redness","Moderate discomfort or pain, edema, or redness; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Severe discomfort or pain, edema, or redness; small areas of mucosal ulceration; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Life-threatening consequences; widespread areas of mucosal ulceration; urgent intervention indicated,-,"A disorder characterized by inflammation involving the vagina. Symptoms may include redness, edema, marked discomfort and an increase in vaginal discharge.",-,264
Vaginal obstruction,Reproductive system and breast disorders,CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; elective intervention indicated,Severe symptoms; invasive intervention indicated,-,-,A disorder characterized by blockage of vaginal canal.,-,265
Vaginal pain,Reproductive system and breast disorders,CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the vagina.,Record final diagnosis/cause once determined.,265
Vaginal perforation,Reproductive system and breast disorders,CTCAE v6.0,,-,Invasive intervention not indicated,Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a rupture in the vaginal wall.,-,265
Vaginal stricture,Reproductive system and breast disorders,CTCAE v6.0,,Asymptomatic; mild vaginal shortening or narrowing,Vaginal narrowing and/or shortening not interfering with physical examination,"Vaginal narrowing and/or shortening interfering with the use of tampons, sexual activity or physical examination",-,Death,A disorder characterized by a narrowing of the vaginal canal.,-,266
Adult respiratory distress syndrome,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,-,-,Present with radiologic findings; intubation not indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,"A disorder characterized by progressive and life-threatening pulmonary distress in the absence of an underlying pulmonary condition, usually following major trauma or surgery.","Consider Respiratory, thoracic and mediastinal disorders: Pneumonitis.",267
Allergic rhinitis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,"A disorder characterized by an inflammation of the nasal mucous membranes caused by an IgE-mediated response to external allergens. The inflammation may also involve the mucous membranes of the sinuses, eyes, middle ear, and pharynx. Symptoms include sneezing, nasal congestion, rhinorrhea and itching.",-,267
Aphonia,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,-,-,Voicelessness; unable to speak,-,-,A disorder characterized by the inability to speak. It may result from injuries to the vocal cords or may be functional (psychogenic).,-,267
Apnea,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,-,-,Present; medical intervention indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by cessation of breathing.,-,268
Aspiration,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Clinical or diagnostic observations only; intervention not indicated,"Altered eating habits; coughing or choking episodes after eating or swallowing; medical intervention indicated (e.g., suction or oxygen)","Dyspnea and pneumonia symptoms (e.g., aspiration pneumonia); hospitalization indicated; unable to aliment orally",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by inhalation of solids or liquids into the lungs.,-,268
Atelectasis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., dyspnea, cough); medical intervention indicated (e.g., chest physiotherapy, suctioning); bronchoscopic suctioning","Supplemental oxygen indicated; hospitalization or elective operative intervention indicated (e.g., stent, laser)",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by the collapse of part or the entire lung.,-,268
Bronchial fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the bronchus and another organ or anatomic site.,-,269
Bronchial obstruction,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., mild wheezing); endoscopic evaluation indicated; radiographic evidence of atelectasis/lobar collapse; medical management indicated (e.g., steroids, bronchodilators)","Shortness of breath with stridor; endoscopic intervention indicated (e.g., laser, stent placement)",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,"A disorder characterized by blockage of a bronchus passage, most often by bronchial secretions and exudates.",-,269
Bronchial stricture,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., rhonchi or wheezing) but without respiratory distress; medical intervention indicated (e.g., steroids, bronchodilators)","Shortness of breath with stridor; endoscopic intervention indicated (e.g., laser, stent placement)",Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by a narrowing of the bronchial tube.,-,269
Bronchopleural fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Hospitalization; invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between a bronchus and the pleural cavity.,-,270
Bronchopulmonary hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; invasive intervention not indicated,Hospitalization,Life-threatening consequences; intubation or urgent intervention indicated,Death,A disorder characterized by bleeding from the bronchial wall and/or lung parenchyma.,-,270
Bronchospasm,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Supplemental oxygen indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by a sudden contraction of the smooth muscles of the bronchial wall or narrowing of the airway. May be manifested as wheezing.,-,270
Chylothorax,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., fat-restricted diet); thoracentesis or tube drainage indicated",Severe symptoms; elective operative intervention indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,A disorder characterized by milky pleural effusion (abnormal collection of fluid) resulting from accumulation of lymph fluid in the pleural cavity.,-,271
Cough,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; nonprescription intervention indicated,"Moderate symptoms, medical intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe symptoms; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by sudden, often repetitive, spasmodic contraction of the thoracic cavity, resulting in violent release of air from the lungs and usually accompanied by a distinctive sound.",Record final diagnosis/cause once determined.,271
Dyspnea,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Shortness of breath with moderate exertion,Shortness of breath with minimal exertion; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Shortness of breath at rest; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an uncomfortable sensation of difficulty breathing.,Consider Cardiac disorders: Heart failure; Record final diagnosis/cause once determined.,272
Epistaxis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,"Moderate symptoms; medical intervention indicated (e.g., nasal packing, cauterization; topical vasoconstrictors)","Transfusion; invasive intervention indicated (e.g., hemostasis of bleeding site)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the nose.,-,272
Hiccups,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; interfering with sleep; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by repeated gulp sounds that result from an involuntary opening and closing of the glottis. This is attributed to a spasm of the diaphragm.,-,272
Hoarseness,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild or intermittent voice change; fully understandable; self-resolves,Moderate or persistent voice changes; may require occasional repetition but understandable on telephone; medical evaluation indicated,Severe voice changes including predominantly whispered speech,-,-,A disorder characterized by harsh and raspy voice arising from or spreading to the larynx.,-,273
Hypoxia,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic decrease in oxygen saturation <LLN,"Decreased oxygen saturation with exercise (e.g., pulse oximeter <88%); intermittent supplemental oxygen","Decreased oxygen saturation at rest (e.g., pulse oximeter <88% or PaO2 ≤55 mmHg); continuous supplemental oxygen","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a decrease in the level of oxygen in the body.,"Consider Respiratory, thoracic and mediastinal disorders: Dyspnea, Pneumonitis; Record final diagnosis/cause once determined.",273
Laryngeal edema,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; medical intervention indicated (e.g., dexamethasone, epinephrine, antihistamines)",Stridor; respiratory distress; hospitalization indicated,"Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by swelling due to an excessive accumulation of fluid in the larynx.,Record final diagnosis/cause once determined.,273
Laryngeal fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the larynx and another organ or anatomic site.,-,274
Laryngeal hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild cough or trace hemoptysis; laryngoscopic findings,Moderate symptoms; intervention indicated,Hospitalization,"Life-threatening consequences; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by bleeding from the larynx.,-,274
Laryngeal inflammation,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild sore throat; raspy voice,Moderate sore throat; analgesics indicated,Severe throat pain; endoscopic intervention indicated,-,-,A disorder characterized by an inflammation involving the larynx.,-,274
Laryngeal mucositis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Endoscopic findings only; mild discomfort with normal intake,"Moderate pain, analgesics indicated; altered oral intake; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe pain; severely altered eating/swallowing; medical intervention indicated,"Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by ulceration or inflammation involving the mucous membrane of the larynx.,-,275
Laryngeal obstruction,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Stridor; endoscopic intervention indicated (e.g., stent, laser); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by blockage of the laryngeal airway.,-,275
Laryngeal stenosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Stridor; endoscopic intervention indicated (e.g., stent, laser); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)",Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by a narrowing of the laryngeal airway.,-,276
Laryngopharyngeal dysesthesia,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; no anxiety; intervention not indicated,"Moderate symptoms; mild anxiety, but no dyspnea; short duration of observation and/or anxiolytic indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe symptoms; dyspnea and swallowing difficulty; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences,Death,A disorder characterized by an uncomfortable persistent sensation in the area of the laryngopharynx.,-,276
Laryngospasm,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,-,Transient episode; intervention not indicated,"Recurrent episodes; noninvasive intervention indicated (e.g., breathing technique, pressure point massage)","Persistent or severe episodes associated with syncope; urgent intervention indicated (e.g., fiberoptic laryngoscopy, intubation, botox injection)",Death,A disorder characterized by paroxysmal spasmodic muscular contraction of the vocal cords.,-,277
Mediastinal hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated; radiologic evidence only,Moderate symptoms; intervention indicated,Hospitalization,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by bleeding from the mediastinum.,-,277
Nasal congestion,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,Associated with bloody nasal discharge or epistaxis,-,-,A disorder characterized by obstruction of the nasal passage due to mucosal edema.,-,277
Oropharyngeal pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild pain,Moderate pain; altered oral intake; non-narcotics initiated; topical analgesics initiated,Severe pain; severely altered eating/swallowing; narcotics initiated; requires parenteral nutrition,-,-,A disorder characterized by a sensation of marked discomfort in the oropharynx or pain on swallowing.,Record final diagnosis/cause once determined.,278
Pharyngeal fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the pharynx and another organ or anatomic site.,-,278
Pharyngeal hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; intervention indicated,Hospitalization,Life-threatening consequences; intubation or urgent intervention indicated,Death,A disorder characterized by bleeding from the pharynx.,-,278
Pharyngeal mucositis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Endoscopic findings only; minimal symptoms with normal oral intake; mild pain but analgesics not indicated,"Moderate pain, analgesics indicated; altered oral intake; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe pain; unable to adequately aliment or hydrate orally; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by ulceration or inflammation involving the mucous membrane of the pharynx.,-,279
Pharyngeal necrosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,-,-,Inability to aliment adequately by GI tract; invasive intervention indicated; tube feeding or TPN indicated,Life-threatening consequences; urgent operative intervention indicated,Death,A disorder characterized by a necrotic process occurring in the pharynx.,-,279
Pharyngeal stenosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic (e.g., noisy airway breathing), no respiratory distress; medical intervention indicated (e.g., steroids); limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)","Stridor; endoscopic intervention indicated (e.g., stent, laser); limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric)","Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a narrowing of the pharyngeal airway.,-,280
Pharyngolaryngeal pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the pharyngolaryngeal region.,Record final diagnosis/cause once determined.,280
Pleural effusion,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,"Symptomatic; intervention indicated (e.g., diuretics or therapeutic thoracentesis)",Symptomatic with respiratory distress and hypoxia; operative intervention including chest tube or pleurodesis indicated,Life-threatening respiratory or hemodynamic compromise; intubation or urgent intervention indicated,Death,"A disorder characterized by an increase in amounts of fluid within the pleural cavity. Symptoms include shortness of breath, cough and marked chest discomfort.",Record final diagnosis/cause once determined.,281
Pleural hemorrhage,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; mild hemorrhage confirmed by thoracentesis,Symptomatic or associated with pneumothorax; chest tube drainage indicated,>1000 ml of blood evacuated; persistent bleeding (150-200 ml/hr for 2 - 4 hr); persistent transfusion indicated; elective operative intervention indicated; hospitalization,Life-threatening consequences; intubation or urgent intervention indicated,Death,A disorder characterized by bleeding from the pleural cavity.,-,281
Pleuritic pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by a sensation of marked discomfort in the pleura.,Record final diagnosis/cause once determined.,281
Pneumonitis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; medical intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe symptoms; oxygen indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),"Life-threatening respiratory compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by inflammation focally or diffusely affecting the lung parenchyma.,-,282
Pneumothorax,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic; clinical or diagnostic observations only; intervention not indicated,Symptomatic; intervention indicated,Sclerosis and/or operative intervention indicated; hospitalization indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by abnormal presence of air in the pleural cavity resulting in the collapse of the lung.,-,282
Postnasal drip,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,"A disorder characterized by excessive mucous secretion in the back of the nasal cavity or throat, causing sore throat and/or coughing.",-,282
Productive cough,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Occasional/minimal production of sputum with cough,Moderate sputum production; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Persistent or copious production of sputum; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by expectorated secretions upon coughing.,Record final diagnosis/cause once determined.,283
Pulmonary edema,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Radiologic findings only; minimal dyspnea on exertion,Moderate dyspnea on exertion; medical intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe dyspnea or dyspnea at rest; oxygen indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening respiratory compromise; urgent intervention or intubation with ventilatory support indicated,Death,A disorder characterized by accumulation of fluid in the lung tissues that causes a disturbance of the gas exchange that may lead to respiratory failure.,"Unless there is a clear non-cardiac cause, please record this event as Cardiac disorders: Heart failure. Record final diagnosis/cause once determined.",283
Pulmonary fibrosis,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Radiologic pulmonary fibrosis <25% of lung volume associated with hypoxia,Evidence of pulmonary hypertension; radiographic pulmonary fibrosis 25 - 50% associated with hypoxia,Severe hypoxia; evidence of right-sided heart failure; radiographic pulmonary fibrosis >50 - 75%,"Life-threatening consequences (e.g., hemodynamic/pulmonary complications); intubation with ventilatory support indicated; radiographic pulmonary fibrosis >75% with severe honeycombing",Death,"A disorder characterized by the replacement of the lung tissue by connective tissue, leading to progressive dyspnea, respiratory failure or right heart failure.",-,284
Pulmonary fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the lung and another organ or anatomic site.,-,284
Pulmonary hypertension,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,"Asymptomatic; radiographic, physical, or diagnostic findings",Symptomatic; requiring medical intervention,"Severe symptoms, associated with hypoxia, right heart failure; oxygen indicated","Life-threatening airway consequences; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by an increase in pressure within the pulmonary circulation due to lung or heart disorder.,-,284
Respiratory failure,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,-,-,-,"Life-threatening consequences; urgent intervention, intubation, or ventilatory support indicated",Death,A disorder characterized by impaired gas exchange by the respiratory system resulting in hypoxia and a decrease in oxygenation of the tissues that may be associated with an increase in arterial levels of carbon dioxide.,"Consider Respiratory, thoracic and mediastinal disorders: Pneumonitis.",285
"Respiratory, thoracic and mediastinal disorders - Other, specify","Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic or mild symptoms; clinical or diagnostic observations only; intervention not indicated,"Moderate; minimal, local or noninvasive intervention indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric)",Severe or medically significant but not immediately life-threatening; hospitalization or prolongation of existing hospitalization indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Life-threatening consequences; urgent intervention indicated,Death,-,-,285
Rhinorrhea,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Present,-,-,-,-,A disorder characterized by excessive mucous secretions draining from the nose.,-,285
Sinus disorder,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic mucosal crusting; blood-tinged secretions,Symptomatic stenosis or edema/narrowing interfering with airflow; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Stenosis with significant nasal obstruction; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Necrosis of soft tissue or bone; urgent operative intervention indicated,Death,A disorder characterized by involvement of the paranasal sinuses.,-,286
Sinus pain,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,"A disorder characterized by a sensation of marked discomfort in the face, between the eyes, or upper teeth originating from the sinuses.",Record final diagnosis/cause once determined.,286
Sleep apnea,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Snoring and nocturnal sleep arousal without apneic periods,Moderate apnea and oxygen desaturation; excessive daytime sleepiness; medical evaluation indicated; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Oxygen desaturation; associated with pulmonary hypertension; medical intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),Cardiovascular or neuropsychiatric symptoms; urgent operative intervention indicated,Death,A disorder characterized by cessation of breathing for short periods during sleep.,-,287
Sneezing,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild symptoms; intervention not indicated,Moderate symptoms; medical intervention indicated,-,-,-,A disorder characterized by the involuntary expulsion of air from the nose.,-,287
Sore throat,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Mild pain,Moderate pain; limiting instrumental ADL or mild/moderate impact on age-appropriate normal daily activity (pediatric),Severe pain; limiting ability to swallow; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),-,-,A disorder characterized by marked discomfort in the throat.,-,287
Stridor,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,-,-,Respiratory distress; medical intervention indicated; limiting self-care ADL or severe impact on age-appropriate normal daily activity (pediatric),"Life-threatening airway compromise; urgent intervention indicated (e.g., tracheotomy or intubation)",Death,A disorder characterized by a high pitched breathing sound due to laryngeal or upper airway obstruction.,-,288
Tracheal fistula,"Respiratory, thoracic and mediastinal disorders",CTCAE v6.0,,Asymptomatic,"Symptomatic, invasive intervention not indicated",Invasive intervention indicated,Life-threatening consequences; urgent intervention indicated,Death,A disorder characterized by an abnormal communication between the trachea and another organ or anatomic site.,-,288
